id,kanji,on-reading,kun-reading,tags
1,駐,チュウ,,第1週1日目
2,無,ム,な,第1週1日目
3,満,マン,,第1週1日目
4,向,コウ,む-こう・む-かう・む-き,第1週1日目
5,禁,キン,,第1週1日目
6,関,カン,,第1週1日目
7,係,ケイ,かかり,第1週1日目
8,断,ダン,ことわ-る,第1週1日目
9,横,オウ,よこ,第1週2日目
10,押,,お-す・お-さえる,第1週2日目
11,式,シキ,,第1週2日目
12,信,シン,,第1週2日目
13,号,ゴウ,,第1週2日目
14,確,カク,たし-か・たし-かめる,第1週2日目
15,認,ニン,みと-める,第1週2日目
16,飛,ヒ,と-ぶ,第1週2日目
17,非,ヒ,,第1週3日目
18,常,ジョウ,,第1週3日目
19,階,カイ,,第1週3日目
20,段,ダン,,第1週3日目
21,箱,,はこ,第1週3日目
22,危,キ,あぶ-ない,第1週3日目
23,険,ケン,,第1週3日目
24,捨,,す-てる,第1週3日目
25,線,セン,,第1週4日目
26,面,メン,,第1週4日目
27,普,フ,,第1週4日目
28,各,カク,,第1週4日目
29,次,ジ,つぎ,第1週4日目
30,快,カイ,,第1週4日目
31,速,ソク,はや-い,第1週4日目
32,過,カ,す-ぎる,第1週4日目
33,鉄,テツ,,第1週4日目
34,指,シ,ゆび,第1週5日目
35,定,テイ,,第1週5日目
36,席,セキ,,第1週5日目
37,由,ユウ,,第1週5日目
38,番,バン,,第1週5日目
39,窓,,まど,第1週5日目
40,側,,かわ,第1週5日目
41,路,ロ,,第1週5日目
42,停,テイ,,第1週6日目
43,整,セイ,,第1週6日目
44,券,ケン,,第1週6日目
45,現,ゲン,あらわ-れる,第1週6日目
46,両,リョウ,,第1週6日目
47,替,,か-える,第1週6日目
48,優,ユウ,やさ-しい,第1週6日目
49,座,ザ,すわ-る,第1週6日目
50,降,コウ,お-りる・ふ-る,第1週6日目
51,未,ミ,,第1週7日目
52,末,マツ,,第1週7日目
53,若,,わか-い,第1週7日目
54,晩,バン,,第1週7日目
55,島,トウ,しま,第1週7日目
56,皿,,さら,第1週7日目
57,血,ケツ,ち,第1週7日目
58,助,ジョ,たす-ける,第1週7日目
59,準,ジュン,,第2週1日目
60,備,ビ,そな-える,第2週1日目
61,営,エイ,,第2週1日目
62,閉,ヘイ,し-まる・し-める,第2週1日目
63,案,アン,,第2週1日目
64,内,ナイ,うち,第2週1日目
65,予,ヨ,,第2週1日目
66,約,ヤク,,第2週1日目
67,煙,エン,けむり,第2週2日目
68,当,トウ,あ-たる,第2週2日目
69,全,ゼン,,第2週2日目
70,客,キャク,,第2週2日目
71,様,ヨウ,さま,第2週2日目
72,解,カイ,,第2週2日目
73,協,キョウ,,第2週2日目
74,願,,ねが-う,第2週2日目
75,観,カン,,第2週3日目
76,園,エン,,第2週3日目
77,港,コウ,みなと,第2週3日目
78,遊,ユウ,あそ-ぶ,第2週3日目
79,美,ビ,うつく-しい,第2週3日目
80,術,ジュツ,,第2週3日目
81,神,シン・ジン,かみ,第2週3日目
82,寺,ジ,てら,第2週3日目
83,役,ヤク,,第2週4日目
84,郵,ユウ,,第2週4日目
85,局,キョク,,第2週4日目
86,交,コウ,,第2週4日目
87,差,サ,さ-す,第2週4日目
88,点,テン,,第2週4日目
89,橋,キョウ,はし,第2週4日目
90,公,コウ,,第2週4日目
91,受,ジュ,う-ける,第2週5日目
92,付,,つ-ける・つ-く,第2週5日目
93,科,カ,,第2週5日目
94,鼻,ビ,はな,第2週5日目
95,婦,フ,,第2週5日目
96,形,ケイ・ギョウ,かたち,第2週5日目
97,骨,コツ,ほね,第2週5日目
98,折,セツ,お-る・おーれる,第2週5日目
99,困,,こま-る,第2週6日目
100,消,ショウ,き-える・け-す,第2週6日目
101,防,ボウ,ふせ-ぐ,第2週6日目
102,救,キュウ,すく-う,第2週6日目
103,警,ケイ,,第2週6日目
104,察,サツ,,第2週6日目
105,故,コ,,第2週6日目
106,伝,デン,つた-える,第2週6日目
107,黄,キ,,第2週7日目
108,絵,カイ・エ,,第2週7日目
109,組,,くみ・く-む,第2週7日目
110,束,ソク,たば,第2週7日目
111,授,ジュ,,第2週7日目
112,渡,,わた-る・わた-す,第2週7日目
113,昔,,むかし,第2週7日目
114,要,ヨウ,い-る,第3週1日目
115,冷,レイ,つめ-たい・ひ-やす・ひ-える・さ-める・さ-ます,第3週1日目
116,蔵,ゾウ,,第3週1日目
117,凍,トウ,こお-る,第3週1日目
118,庫,コ,,第3週1日目
119,召,,め-す,第3週1日目
120,保,ホ,,第3週1日目
121,存,ゾン,,第3週1日目
